#separator:tab
#html:false
ID cell type:	Eosinophil
WHO classification of Hodgkin lymphomas:    4 classical forms - [...], [...], [...] and [...] 1 non-classical form - lymphocyte predominance (nodular lymphocyte predominant)    Markers for the RS cells in classical forms:  Positive - CD15, CD30 and PAX5 Negative - all B cell markers (e.g. CD20, CD45, BCL6) and CD45 (leukocyte common antigen)   * The immunophenotype (markers) for the non-classical form are the exact opposite of the classical forms (positive <--> negative) *	WHO classification of Hodgkin lymphomas:    4 classical forms - nodular sclerosis, mixed cellularity, lymphocyte-rich and lymphocyte depletion 1 non-classical form - lymphocyte predominance (nodular lymphocyte predominant)    Markers for the RS cells in classical forms:  Positive - CD15, CD30 and PAX5 Negative - all B cell markers (e.g. CD20, CD45, BCL6) and CD45 (leukocyte common antigen)   * The immunophenotype (markers) for the non-classical form are the exact opposite of the classical forms (positive <--> negative) *
WHO classification of Hodgkin lymphomas:    4 classical forms - nodular sclerosis, mixed cellularity, lymphocyte-rich and lymphocyte depletion 1 non-classical form - [...]   Markers for the RS cells in classical forms:  Positive - CD15, CD30 and PAX5 Negative - all B cell markers (e.g. CD20, CD45, BCL6) and CD45 (leukocyte common antigen)   * The immunophenotype (markers) for the non-classical form are the exact opposite of the classical forms (positive <--> negative) *	WHO classification of Hodgkin lymphomas:    4 classical forms - nodular sclerosis, mixed cellularity, lymphocyte-rich and lymphocyte depletion 1 non-classical form - lymphocyte predominance (nodular lymphocyte predominant)    Markers for the RS cells in classical forms:  Positive - CD15, CD30 and PAX5 Negative - all B cell markers (e.g. CD20, CD45, BCL6) and CD45 (leukocyte common antigen)   * The immunophenotype (markers) for the non-classical form are the exact opposite of the classical forms (positive <--> negative) *
WHO classification of Hodgkin lymphomas:    4 classical forms - nodular sclerosis, mixed cellularity, lymphocyte-rich and lymphocyte depletion 1 non-classical form - lymphocyte predominance (nodular lymphocyte predominant)    Markers for the RS cells in classical forms:  Positive - CD[...], CD[...] and [...] Negative - all B cell markers (e.g. CD20, CD45, BCL6) and CD45 (leukocyte common antigen)   * The immunophenotype (markers) for the non-classical form are the exact opposite of the classical forms (positive <--> negative) *	WHO classification of Hodgkin lymphomas:    4 classical forms - nodular sclerosis, mixed cellularity, lymphocyte-rich and lymphocyte depletion 1 non-classical form - lymphocyte predominance (nodular lymphocyte predominant)    Markers for the RS cells in classical forms:  Positive - CD15, CD30 and PAX5 Negative - all B cell markers (e.g. CD20, CD45, BCL6) and CD45 (leukocyte common antigen)   * The immunophenotype (markers) for the non-classical form are the exact opposite of the classical forms (positive <--> negative) *
WHO classification of Hodgkin lymphomas:    4 classical forms - nodular sclerosis, mixed cellularity, lymphocyte-rich and lymphocyte depletion 1 non-classical form - lymphocyte predominance (nodular lymphocyte predominant)    Markers for the RS cells in classical forms:  Positive - CD15, CD30 and PAX5 Negative - [...] and CD[...]   * The immunophenotype (markers) for the non-classical form are the exact opposite of the classical forms (positive <--> negative) *	WHO classification of Hodgkin lymphomas:    4 classical forms - nodular sclerosis, mixed cellularity, lymphocyte-rich and lymphocyte depletion 1 non-classical form - lymphocyte predominance (nodular lymphocyte predominant)    Markers for the RS cells in classical forms:  Positive - CD15, CD30 and PAX5 Negative - all B cell markers (e.g. CD20, CD45, BCL6) and CD45 (leukocyte common antigen)   * The immunophenotype (markers) for the non-classical form are the exact opposite of the classical forms (positive <--> negative) *
WHO classification of Hodgkin lymphomas:    4 classical forms - nodular sclerosis, mixed cellularity, lymphocyte-rich and lymphocyte depletion 1 non-classical form - lymphocyte predominance (nodular lymphocyte predominant)    Markers for the RS cells in classical forms:  Positive - CD15, CD30 and PAX5 Negative - all B cell markers (e.g. CD20, CD45, BCL6) and CD45 (leukocyte common antigen)   * The immunophenotype (markers) for the non-classical form are [...] *	WHO classification of Hodgkin lymphomas:    4 classical forms - nodular sclerosis, mixed cellularity, lymphocyte-rich and lymphocyte depletion 1 non-classical form - lymphocyte predominance (nodular lymphocyte predominant)    Markers for the RS cells in classical forms:  Positive - CD15, CD30 and PAX5 Negative - all B cell markers (e.g. CD20, CD45, BCL6) and CD45 (leukocyte common antigen)   * The immunophenotype (markers) for the non-classical form are the exact opposite of the classical forms (positive <--> negative) *
Presence of neutrophils and eosinophils in a lymph node.  What do you suspect?	Hodgkin Lymphoma   Mostly eosinophils --> most likely mixed cellularity type
Lymphocyte-depleted form of Hodgkin's lymphoma (least common form):   Characteristic cells - [...]   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45 and BLC-2 and 6 (important for DDX from diffuse large cell lymphoma)    Association with EBV - 90% Additional viral association - HIV (in old patients) Prognosis - poor (worst of all subtypes)	Lymphocyte-depleted form of Hodgkin's lymphoma (least common form):   Characteristic cells - classic RS cell abundant   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45 and BLC-2 and 6 (important for DDX from diffuse large cell lymphoma)    Association with EBV - 90% Additional viral association - HIV (in old patients) Prognosis - poor (worst of all subtypes)
Lymphocyte-depleted form of Hodgkin's lymphoma (least common form):   Characteristic cells - classic RS cell abundant   Immunophenotype:  Positive - CD[...] and CD[...]  Negative - CD[...] and [...] (important for DDX from diffuse large cell lymphoma)    Association with EBV - 90% Additional viral association - HIV (in old patients) Prognosis - poor (worst of all subtypes)	Lymphocyte-depleted form of Hodgkin's lymphoma (least common form):   Characteristic cells - classic RS cell abundant   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45 and BLC-2 and 6 (important for DDX from diffuse large cell lymphoma)    Association with EBV - 90% Additional viral association - HIV (in old patients) Prognosis - poor (worst of all subtypes)
Lymphocyte-depleted form of Hodgkin's lymphoma (least common form):   Characteristic cells - classic RS cell abundant   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45 and BLC-2 and 6 (important for DDX from diffuse large cell lymphoma)    Association with EBV - [...] Additional viral association - [...] (in old patients) Prognosis - [...]	Lymphocyte-depleted form of Hodgkin's lymphoma (least common form):   Characteristic cells - classic RS cell abundant   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45 and BLC-2 and 6 (important for DDX from diffuse large cell lymphoma)    Association with EBV - 90% Additional viral association - HIV (in old patients) Prognosis - poor (worst of all subtypes)
[...]:   Characteristic cells - classic RS cell abundant   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45 and BLC-2 and 6 (important for DDX from diffuse large cell lymphoma)    Association with EBV - 90% Additional viral association - HIV (in old patients) Prognosis - poor (worst of all subtypes)	Lymphocyte-depleted form of Hodgkin's lymphoma (least common form):   Characteristic cells - classic RS cell abundant   Immunophenotype:  Positive - CD15 and CD30  Negative - CD45 and BLC-2 and 6 (important for DDX from diffuse large cell lymphoma)    Association with EBV - 90% Additional viral association - HIV (in old patients) Prognosis - poor (worst of all subtypes)
ID the pathology (immunophenotype CD15+, CD30+, CD45-, BCL2-, BCL6-):	Lymphocyte-depleted form of Hodgkin lymphoma   Note the RS cell and relative lack of lymphoctes..
Nodular Lymphocyte-predominant form of Hodgkin's lymphoma:   Characteristic cells - [...]   Epidemiology: [...]   Immunophenotype:  Positive - CD45, CD20 and BLC-2 and 6 Negative - CD15 and CD30   Prognosis - excellent 3-5% can progress to DLBCL	Nodular Lymphocyte-predominant form of Hodgkin's lymphoma:   Characteristic cells - popcorn cells (LH cells), pathognomonic   Epidemiology: Rare form of HL, 75% occur in young males   Immunophenotype:  Positive - CD45, CD20 and BLC-2 and 6 Negative - CD15 and CD30   Prognosis - excellent 3-5% can progress to DLBCL   Popcorn Cells
Nodular Lymphocyte-predominant form of Hodgkin's lymphoma:   Characteristic cells - popcorn cells (LH cells), pathognomonic   Epidemiology: Rare form of HL, 75% occur in young males   Immunophenotype:  Positive - CD[...], CD[...] and [...] Negative - CD[...] and CD[...]   Prognosis - excellent 3-5% can progress to DLBCL	Nodular Lymphocyte-predominant form of Hodgkin's lymphoma:   Characteristic cells - popcorn cells (LH cells), pathognomonic   Epidemiology: Rare form of HL, 75% occur in young males   Immunophenotype:  Positive - CD45, CD20 and BLC-2 and 6 Negative - CD15 and CD30   Prognosis - excellent 3-5% can progress to DLBCL   Popcorn Cells
Nodular Lymphocyte-predominant form of Hodgkin's lymphoma:   Characteristic cells - popcorn cells (LH cells), pathognomonic   Epidemiology: Rare form of HL, 75% occur in young males   Immunophenotype:  Positive - CD45, CD20 and BLC-2 and 6 Negative - CD15 and CD30   Prognosis - [...] 3-5% can progress to [...]	Nodular Lymphocyte-predominant form of Hodgkin's lymphoma:   Characteristic cells - popcorn cells (LH cells), pathognomonic   Epidemiology: Rare form of HL, 75% occur in young males   Immunophenotype:  Positive - CD45, CD20 and BLC-2 and 6 Negative - CD15 and CD30   Prognosis - excellent 3-5% can progress to DLBCL   Popcorn Cells
[...]:   Characteristic cells - popcorn cells (LH cells), pathognomonic   Epidemiology: Rare form of HL, 75% occur in young males   Immunophenotype:  Positive - CD45, CD20 and BLC-2 and 6 Negative - CD15 and CD30   Prognosis - excellent 3-5% can progress to DLBCL	Nodular Lymphocyte-predominant form of Hodgkin's lymphoma:   Characteristic cells - popcorn cells (LH cells), pathognomonic   Epidemiology: Rare form of HL, 75% occur in young males   Immunophenotype:  Positive - CD45, CD20 and BLC-2 and 6 Negative - CD15 and CD30   Prognosis - excellent 3-5% can progress to DLBCL   Popcorn Cells
Staging Hodgkin lymphomas   A - [...] B - [...]E - [...]X - [...] Stage 1 - 1 lymph node region (e.g. cervical)Stage 1E - a single extralymphatic organ/site Stage 2 - 2 or more lymph node regions on the same side of the diaphragm (e.g. cervical and mediastinal)Stage 2E - localized contiguous involvment of an extralymphatic site Stage 3 - involvment of lymph nodes both superior and inferior to the diaphragm (e.g. mediastinal and enteric)Stage 3E - localized contiguous involvment of an extralymphatic organ/siteStage 3S - involvment of spleen Stage 3ES - extralymphatic organ/site + spleen Stage 4 - disseminated involvment of one or more extralymphatic organs	Staging Hodgkin lymphomas   A - asymptomatic B - B symptoms: weight loss > 10%, fever, drenching night sweatsE - Extranodal extension or single, isolated site of extranodal diseaseX - Bulk > 10 cm Stage 1 - 1 lymph node region (e.g. cervical)Stage 1E - a single extralymphatic organ/site Stage 2 - 2 or more lymph node regions on the same side of the diaphragm (e.g. cervical and mediastinal)Stage 2E - localized contiguous involvment of an extralymphatic site Stage 3 - involvment of lymph nodes both superior and inferior to the diaphragm (e.g. mediastinal and enteric)Stage 3E - localized contiguous involvment of an extralymphatic organ/siteStage 3S - involvment of spleen Stage 3ES - extralymphatic organ/site + spleen Stage 4 - disseminated involvment of one or more extralymphatic organs
Staging Hodgkin lymphomas   A - asymptomatic B - B symptoms: weight loss > 10%, fever, drenching night sweatsE - Extranodal extension or single, isolated site of extranodal diseaseX - Bulk > 10 cm Stage 1 - [...]Stage 1E - [...] Stage 2 - 2 or more lymph node regions on the same side of the diaphragm (e.g. cervical and mediastinal)Stage 2E - localized contiguous involvment of an extralymphatic site Stage 3 - involvment of lymph nodes both superior and inferior to the diaphragm (e.g. mediastinal and enteric)Stage 3E - localized contiguous involvment of an extralymphatic organ/siteStage 3S - involvment of spleen Stage 3ES - extralymphatic organ/site + spleen Stage 4 - disseminated involvment of one or more extralymphatic organs	Staging Hodgkin lymphomas   A - asymptomatic B - B symptoms: weight loss > 10%, fever, drenching night sweatsE - Extranodal extension or single, isolated site of extranodal diseaseX - Bulk > 10 cm Stage 1 - 1 lymph node region (e.g. cervical)Stage 1E - a single extralymphatic organ/site Stage 2 - 2 or more lymph node regions on the same side of the diaphragm (e.g. cervical and mediastinal)Stage 2E - localized contiguous involvment of an extralymphatic site Stage 3 - involvment of lymph nodes both superior and inferior to the diaphragm (e.g. mediastinal and enteric)Stage 3E - localized contiguous involvment of an extralymphatic organ/siteStage 3S - involvment of spleen Stage 3ES - extralymphatic organ/site + spleen Stage 4 - disseminated involvment of one or more extralymphatic organs
Staging Hodgkin lymphomas   A - asymptomatic B - B symptoms: weight loss > 10%, fever, drenching night sweatsE - Extranodal extension or single, isolated site of extranodal diseaseX - Bulk > 10 cm Stage 1 - 1 lymph node region (e.g. cervical)Stage 1E - a single extralymphatic organ/site Stage 2 - [...]Stage 2E - [...] Stage 3 - involvment of lymph nodes both superior and inferior to the diaphragm (e.g. mediastinal and enteric)Stage 3E - localized contiguous involvment of an extralymphatic organ/siteStage 3S - involvment of spleen Stage 3ES - extralymphatic organ/site + spleen Stage 4 - disseminated involvment of one or more extralymphatic organs	Staging Hodgkin lymphomas   A - asymptomatic B - B symptoms: weight loss > 10%, fever, drenching night sweatsE - Extranodal extension or single, isolated site of extranodal diseaseX - Bulk > 10 cm Stage 1 - 1 lymph node region (e.g. cervical)Stage 1E - a single extralymphatic organ/site Stage 2 - 2 or more lymph node regions on the same side of the diaphragm (e.g. cervical and mediastinal)Stage 2E - localized contiguous involvment of an extralymphatic site Stage 3 - involvment of lymph nodes both superior and inferior to the diaphragm (e.g. mediastinal and enteric)Stage 3E - localized contiguous involvment of an extralymphatic organ/siteStage 3S - involvment of spleen Stage 3ES - extralymphatic organ/site + spleen Stage 4 - disseminated involvment of one or more extralymphatic organs
Staging Hodgkin lymphomas   A - asymptomatic B - B symptoms: weight loss > 10%, fever, drenching night sweatsE - Extranodal extension or single, isolated site of extranodal diseaseX - Bulk > 10 cm Stage 1 - 1 lymph node region (e.g. cervical)Stage 1E - a single extralymphatic organ/site Stage 2 - 2 or more lymph node regions on the same side of the diaphragm (e.g. cervical and mediastinal)Stage 2E - localized contiguous involvment of an extralymphatic site Stage 3 - [...]Stage 3E - [...]Stage 3S - [...] Stage 3ES - [...] Stage 4 - disseminated involvment of one or more extralymphatic organs	Staging Hodgkin lymphomas   A - asymptomatic B - B symptoms: weight loss > 10%, fever, drenching night sweatsE - Extranodal extension or single, isolated site of extranodal diseaseX - Bulk > 10 cm Stage 1 - 1 lymph node region (e.g. cervical)Stage 1E - a single extralymphatic organ/site Stage 2 - 2 or more lymph node regions on the same side of the diaphragm (e.g. cervical and mediastinal)Stage 2E - localized contiguous involvment of an extralymphatic site Stage 3 - involvment of lymph nodes both superior and inferior to the diaphragm (e.g. mediastinal and enteric)Stage 3E - localized contiguous involvment of an extralymphatic organ/siteStage 3S - involvment of spleen Stage 3ES - extralymphatic organ/site + spleen Stage 4 - disseminated involvment of one or more extralymphatic organs
Staging Hodgkin lymphomas   A - asymptomatic B - B symptoms: weight loss > 10%, fever, drenching night sweatsE - Extranodal extension or single, isolated site of extranodal diseaseX - Bulk > 10 cm Stage 1 - 1 lymph node region (e.g. cervical)Stage 1E - a single extralymphatic organ/site Stage 2 - 2 or more lymph node regions on the same side of the diaphragm (e.g. cervical and mediastinal)Stage 2E - localized contiguous involvment of an extralymphatic site Stage 3 - involvment of lymph nodes both superior and inferior to the diaphragm (e.g. mediastinal and enteric)Stage 3E - localized contiguous involvment of an extralymphatic organ/siteStage 3S - involvment of spleen Stage 3ES - extralymphatic organ/site + spleen Stage 4 - [...]	Staging Hodgkin lymphomas   A - asymptomatic B - B symptoms: weight loss > 10%, fever, drenching night sweatsE - Extranodal extension or single, isolated site of extranodal diseaseX - Bulk > 10 cm Stage 1 - 1 lymph node region (e.g. cervical)Stage 1E - a single extralymphatic organ/site Stage 2 - 2 or more lymph node regions on the same side of the diaphragm (e.g. cervical and mediastinal)Stage 2E - localized contiguous involvment of an extralymphatic site Stage 3 - involvment of lymph nodes both superior and inferior to the diaphragm (e.g. mediastinal and enteric)Stage 3E - localized contiguous involvment of an extralymphatic organ/siteStage 3S - involvment of spleen Stage 3ES - extralymphatic organ/site + spleen Stage 4 - disseminated involvment of one or more extralymphatic organs
Plasma cell disorders (associated with monoclonal gammopathies):    [...] - tumor masses thorughout the skeletal system (most important/deadly of these disorders) with M component > 3g/dL   [...] - subtype of first disease, with increased plasma M component but without symptoms.    [...] - subtype of first disease, but with a single mass in soft tissue.    Waldenstrom's macroglobinemia - high levels of IgM --> blood hyperviscosity and lymphoblastic lymphoma   Heavy chain disease - synthesis and secretion of free heavy chain fragments (most commonly in the setting of chronic lymphocytic lymphoma or small lymphocytic lymphoma and mediterranean lymphomas that secrete IgA from small bowel).   Primary amyloidosis - results from a monoclonal proliferation of plasma cells secreting free light chains that are subsequently processed and deposited as amyloids.   Monoclonal gammopathy of undetermined significance (MGUS) - most common in elderly, M components in blood of patients that is < 3g/dL, minimal Bence-Jones proteins in urine and often without any signs or symptoms.	Plasma cell disorders (associated with monoclonal gammopathies):    Multiple myeloma - tumor masses thorughout the skeletal system (most important/deadly of these disorders) with M component > 3g/dL   Smoldering/asymptomatic myeloma - subtype of first disease, with increased plasma M component but without symptoms.    Plasmacytoma (solitary myeloma) - subtype of first disease, but with a single mass in soft tissue.    Waldenstrom's macroglobinemia - high levels of IgM --> blood hyperviscosity and lymphoblastic lymphoma   Heavy chain disease - synthesis and secretion of free heavy chain fragments (most commonly in the setting of chronic lymphocytic lymphoma or small lymphocytic lymphoma and mediterranean lymphomas that secrete IgA from small bowel).   Primary amyloidosis - results from a monoclonal proliferation of plasma cells secreting free light chains that are subsequently processed and deposited as amyloids.   Monoclonal gammopathy of undetermined significance (MGUS) - most common in elderly, M components in blood of patients that is < 3g/dL, minimal Bence-Jones proteins in urine and often without any signs or symptoms.
Plasma cell disorders (associated with monoclonal gammopathies):    Multiple myeloma - tumor masses thorughout the skeletal system (most important/deadly of these disorders) with M component > 3g/dL   Smoldering/asymptomatic myeloma - subtype of first disease, with increased plasma M component but without symptoms.    Plasmacytoma (solitary myeloma) - subtype of first disease, but with a single mass in soft tissue.    [...] - high levels of IgM --> blood hyperviscosity and lymphoblastic lymphoma   [...] - synthesis and secretion of free heavy chain fragments (most commonly in the setting of chronic lymphocytic lymphoma or small lymphocytic lymphoma and mediterranean lymphomas that secrete IgA from small bowel).   [...] - results from a monoclonal proliferation of plasma cells secreting free light chains that are subsequently processed and deposited as amyloids.   [...] - most common in elderly, M components in blood of patients that is < 3g/dL, minimal Bence-Jones proteins in urine and often without any signs or symptoms.	Plasma cell disorders (associated with monoclonal gammopathies):    Multiple myeloma - tumor masses thorughout the skeletal system (most important/deadly of these disorders) with M component > 3g/dL   Smoldering/asymptomatic myeloma - subtype of first disease, with increased plasma M component but without symptoms.    Plasmacytoma (solitary myeloma) - subtype of first disease, but with a single mass in soft tissue.    Waldenstrom's macroglobinemia - high levels of IgM --> blood hyperviscosity and lymphoblastic lymphoma   Heavy chain disease - synthesis and secretion of free heavy chain fragments (most commonly in the setting of chronic lymphocytic lymphoma or small lymphocytic lymphoma and mediterranean lymphomas that secrete IgA from small bowel).   Primary amyloidosis - results from a monoclonal proliferation of plasma cells secreting free light chains that are subsequently processed and deposited as amyloids.   Monoclonal gammopathy of undetermined significance (MGUS) - most common in elderly, M components in blood of patients that is < 3g/dL, minimal Bence-Jones proteins in urine and often without any signs or symptoms.
ID the cells + pathology:	Multiple myeloma   Note that flame cells are not specific for multiple myeloma.  Russel bodies - contain immunoglobulins.  Dutcher bodies - granules in the nucleus.
Plasma cell markers:    Positive - CD[...], CD[...] and CD[...] Negative - CD19 and CD20	Plasma cell markers:    Positive - CD38, CD138 and CD79a Negative - CD19 and CD20
Plasma cell markers:    Positive - CD38, CD138 and CD79a Negative - CD[...] and CD[...]	Plasma cell markers:    Positive - CD38, CD138 and CD79a Negative - CD19 and CD20
Lymphoplasmacytic lymphoma (aka Waldenstrom macroglobulinemia):    Epidemiology - [...] yo Most common immunoglobulin - Ig[...]  Also known as: [...]   Difference between Lymphoplasmacytic lymphoma and Waldenstrom's Macroglobulinemia: [...]    Cell Type: [...]   Laboratory Features:  Anemia (decreased EPO in hyperviscosity syndrome) rouleux formation Serum electrophoresis shows M-spike in [$]\gamma[/$]-globulins (monoclonal gammopathy) increased viscosity if IgM is secreted    Definitive Diagnosis: Bone marrow biopsy showing small lymphocytes, plasmacytoid lymphocytes, and plasma cells. Plasma cells often show Russell bodies and Dutcher bodies   Hyperviscosity syndrome (only occurs in waldenstrom's macroglobulinemia):  Visual - venous congestion --> vision impairment Neuro - headache, dizzines (sluggish flow), neuropathy Hematological - complex with coagulation factors --> bleeding Skin - Raynaud's phenomenon and cold urticaria due to cryoglobulinemia    Renal failure? NO Lytic bone lesions? NO  Hypercalcemia? NO    Overall Management: Incurable, thus expectant Tumor burden management: rituximab, cyclophosphomide, dexamethasone Hyperviscosity management: Plasmapheresis	Lymphoplasmacytic lymphoma (aka Waldenstrom macroglobulinemia):    Epidemiology - 60-70 yo Most common immunoglobulin - IgM  Also known as: Low-grade form of non-Hodgkins lymphoma   Difference between Lymphoplasmacytic lymphoma and Waldenstrom's Macroglobulinemia:  Waldenstrom's Macroglobulinemia if the tumor secretes IgM, but LPL if no antibody is secreted or IgA/IgG or other antibodies are secreted    Cell Type: B-cell neoplasm   Laboratory Features:  Anemia (decreased EPO in hyperviscosity syndrome) rouleux formation Serum electrophoresis shows M-spike in [$]\gamma[/$]-globulins (monoclonal gammopathy) increased viscosity if IgM is secreted    Definitive Diagnosis: Bone marrow biopsy showing small lymphocytes, plasmacytoid lymphocytes, and plasma cells. Plasma cells often show Russell bodies and Dutcher bodies   Hyperviscosity syndrome (only occurs in waldenstrom's macroglobulinemia):  Visual - venous congestion --> vision impairment Neuro - headache, dizzines (sluggish flow), neuropathy Hematological - complex with coagulation factors --> bleeding Skin - Raynaud's phenomenon and cold urticaria due to cryoglobulinemia    Renal failure? NO Lytic bone lesions? NO  Hypercalcemia? NO    Overall Management: Incurable, thus expectant Tumor burden management: rituximab, cyclophosphomide, dexamethasone Hyperviscosity management: Plasmapheresis    Normal Serum-electrophoresis   M-spike in Gamma globulin region
Lymphoplasmacytic lymphoma (aka Waldenstrom macroglobulinemia):    Epidemiology - 60-70 yo Most common immunoglobulin - IgM  Also known as: Low-grade form of non-Hodgkins lymphoma   Difference between Lymphoplasmacytic lymphoma and Waldenstrom's Macroglobulinemia:  Waldenstrom's Macroglobulinemia if the tumor secretes IgM, but LPL if no antibody is secreted or IgA/IgG or other antibodies are secreted    Cell Type: B-cell neoplasm   Laboratory Features:  [...] [...] [...] [...]   Definitive Diagnosis: [...]   Hyperviscosity syndrome (only occurs in [...]):  Visual - venous congestion --> vision impairment Neuro - headache, dizzines (sluggish flow), neuropathy Hematological - complex with coagulation factors --> bleeding Skin - Raynaud's phenomenon and cold urticaria due to cryoglobulinemia    Renal failure? NO Lytic bone lesions? NO  Hypercalcemia? NO    Overall Management: Incurable, thus expectant Tumor burden management: rituximab, cyclophosphomide, dexamethasone Hyperviscosity management: Plasmapheresis	Lymphoplasmacytic lymphoma (aka Waldenstrom macroglobulinemia):    Epidemiology - 60-70 yo Most common immunoglobulin - IgM  Also known as: Low-grade form of non-Hodgkins lymphoma   Difference between Lymphoplasmacytic lymphoma and Waldenstrom's Macroglobulinemia:  Waldenstrom's Macroglobulinemia if the tumor secretes IgM, but LPL if no antibody is secreted or IgA/IgG or other antibodies are secreted    Cell Type: B-cell neoplasm   Laboratory Features:  Anemia (decreased EPO in hyperviscosity syndrome) rouleux formation Serum electrophoresis shows M-spike in [$]\gamma[/$]-globulins (monoclonal gammopathy) increased viscosity if IgM is secreted    Definitive Diagnosis: Bone marrow biopsy showing small lymphocytes, plasmacytoid lymphocytes, and plasma cells. Plasma cells often show Russell bodies and Dutcher bodies   Hyperviscosity syndrome (only occurs in waldenstrom's macroglobulinemia):  Visual - venous congestion --> vision impairment Neuro - headache, dizzines (sluggish flow), neuropathy Hematological - complex with coagulation factors --> bleeding Skin - Raynaud's phenomenon and cold urticaria due to cryoglobulinemia    Renal failure? NO Lytic bone lesions? NO  Hypercalcemia? NO    Overall Management: Incurable, thus expectant Tumor burden management: rituximab, cyclophosphomide, dexamethasone Hyperviscosity management: Plasmapheresis    Normal Serum-electrophoresis   M-spike in Gamma globulin region
Lymphoplasmacytic lymphoma (aka Waldenstrom macroglobulinemia):    Epidemiology - 60-70 yo Most common immunoglobulin - IgM  Also known as: Low-grade form of non-Hodgkins lymphoma   Difference between Lymphoplasmacytic lymphoma and Waldenstrom's Macroglobulinemia:  Waldenstrom's Macroglobulinemia if the tumor secretes IgM, but LPL if no antibody is secreted or IgA/IgG or other antibodies are secreted    Cell Type: B-cell neoplasm   Laboratory Features:  Anemia (decreased EPO in hyperviscosity syndrome) rouleux formation Serum electrophoresis shows M-spike in [$]\gamma[/$]-globulins (monoclonal gammopathy) increased viscosity if IgM is secreted    Definitive Diagnosis: Bone marrow biopsy showing small lymphocytes, plasmacytoid lymphocytes, and plasma cells. Plasma cells often show Russell bodies and Dutcher bodies   Hyperviscosity syndrome (only occurs in waldenstrom's macroglobulinemia):  Visual - [...] Neuro - [...] Hematological - [...] Skin - [...]    Renal failure? [...] Lytic bone lesions? [...]  Hypercalcemia? [...]    Overall Management: Incurable, thus expectant Tumor burden management: rituximab, cyclophosphomide, dexamethasone Hyperviscosity management: Plasmapheresis	Lymphoplasmacytic lymphoma (aka Waldenstrom macroglobulinemia):    Epidemiology - 60-70 yo Most common immunoglobulin - IgM  Also known as: Low-grade form of non-Hodgkins lymphoma   Difference between Lymphoplasmacytic lymphoma and Waldenstrom's Macroglobulinemia:  Waldenstrom's Macroglobulinemia if the tumor secretes IgM, but LPL if no antibody is secreted or IgA/IgG or other antibodies are secreted    Cell Type: B-cell neoplasm   Laboratory Features:  Anemia (decreased EPO in hyperviscosity syndrome) rouleux formation Serum electrophoresis shows M-spike in [$]\gamma[/$]-globulins (monoclonal gammopathy) increased viscosity if IgM is secreted    Definitive Diagnosis: Bone marrow biopsy showing small lymphocytes, plasmacytoid lymphocytes, and plasma cells. Plasma cells often show Russell bodies and Dutcher bodies   Hyperviscosity syndrome (only occurs in waldenstrom's macroglobulinemia):  Visual - venous congestion --> vision impairment Neuro - headache, dizzines (sluggish flow), neuropathy Hematological - complex with coagulation factors --> bleeding Skin - Raynaud's phenomenon and cold urticaria due to cryoglobulinemia    Renal failure? NO Lytic bone lesions? NO  Hypercalcemia? NO    Overall Management: Incurable, thus expectant Tumor burden management: rituximab, cyclophosphomide, dexamethasone Hyperviscosity management: Plasmapheresis    Normal Serum-electrophoresis   M-spike in Gamma globulin region
